areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-02-11,0
K02000001,United Kingdom,overview,2020-02-10,0
K02000001,United Kingdom,overview,2020-02-09,0
K02000001,United Kingdom,overview,2020-02-08,0
K02000001,United Kingdom,overview,2020-02-07,0
K02000001,United Kingdom,overview,2020-02-06,0
K02000001,United Kingdom,overview,2020-02-05,0
K02000001,United Kingdom,overview,2020-02-04,0
K02000001,United Kingdom,overview,2020-02-03,0
K02000001,United Kingdom,overview,2020-02-02,1
K02000001,United Kingdom,overview,2020-02-01,0
K02000001,United Kingdom,overview,2020-01-31,0
K02000001,United Kingdom,overview,2020-01-30,1
